N_nodes,T,degree,autocorrelation,tau_max_true,lag_max,repetition,graph_seed,method,peak_rss_mib,runtime_s
4,1000,1.5,0.3,3,3,2,45104124,dynotears,150.109375,0.5180817079963163
4,1000,1.5,0.3,3,3,2,45104124,tsfges,163.734375,0.32497624999814434
4,1000,1.5,0.3,3,3,2,45104124,tsboss_iid,33.09375,0.014076250001380686
4,1000,1.5,0.3,3,3,3,45104125,tsboss,92.359375,0.25809187500271946
4,1000,1.5,0.3,3,3,3,45104125,pcmci,98.578125,0.31524691700178664
4,1000,1.5,0.3,3,3,3,45104125,dynotears,150.15625,0.5059519999995246
4,1000,1.5,0.3,3,3,3,45104125,tsfges,163.015625,0.3211687079965486
4,1000,1.5,0.3,3,3,3,45104125,tsboss_iid,33.046875,0.012398832994222175
4,1000,1.5,0.3,3,3,4,45104126,tsboss,92.28125,0.2532790839977679
4,1000,1.5,0.3,3,3,4,45104126,pcmci,98.1875,0.29715795799711486
4,1000,1.5,0.3,3,3,4,45104126,dynotears,150.234375,0.5151471670033061
4,1000,1.5,0.3,3,3,4,45104126,tsfges,162.765625,0.3184883339999942
4,1000,1.5,0.3,3,3,4,45104126,tsboss_iid,33.09375,0.01035158299782779
4,1000,1.5,0.3,3,3,5,45104127,tsboss,92.3125,0.2614620840031421
4,1000,1.5,0.3,3,3,5,45104127,pcmci,98.0,0.30144004199974006
4,1000,1.5,0.3,3,3,5,45104127,dynotears,150.234375,0.48571158300183015
4,1000,1.5,0.3,3,3,5,45104127,tsfges,163.890625,0.3145909999948344
4,1000,1.5,0.3,3,3,5,45104127,tsboss_iid,32.96875,0.010330124998290557
4,1000,1.5,0.3,3,3,6,45104128,tsboss,92.21875,0.25708845799817936
4,1000,1.5,0.3,3,3,6,45104128,pcmci,98.421875,0.2980935829982627
4,1000,1.5,0.3,3,3,6,45104128,dynotears,150.140625,0.5217771250026999
4,1000,1.5,0.3,3,3,6,45104128,tsfges,164.9375,0.34078770800260827
4,1000,1.5,0.3,3,3,6,45104128,tsboss_iid,32.890625,0.01194387500436278
4,1000,1.5,0.3,3,3,7,45104129,tsboss,92.234375,0.2529902500027674
4,1000,1.5,0.3,3,3,7,45104129,pcmci,98.3125,0.30398854200029746
4,1000,1.5,0.3,3,3,7,45104129,dynotears,150.21875,0.5046850420039846
4,1000,1.5,0.3,3,3,7,45104129,tsfges,164.6875,0.3204612920017098
4,1000,1.5,0.3,3,3,7,45104129,tsboss_iid,33.046875,0.009513790995697491
